125.428 4  3.082501 0.46428 -0.13099
125.492 4  3.07473 0.397225 -0.087273
125.547 4  3.064921 0.663376 -0.137325
125.600 4  3.084068 0.789444 -0.120864
125.640 4  3.089332 0.721069 -0.097553
125.746 4  3.07463 0.651432 -0.105503
125.748 4  3.077075 0.590475 -0.106977
125.802 4  3.088822 0.871918 -0.097829
125.890 4  3.077765 0.810338 -0.107233
125.891 4  3.08947 1.079303 -0.099692
125.935 4  3.076045 1.015394 -0.085544
125.983 4  3.082076 0.967239 -0.103132
126.044 4  3.099139 1.204591 -0.099834
126.096 4  3.079466 1.340715 -0.101979
126.128 4  3.082224 1.298824 -0.099135
126.193 4  3.093311 1.252318 -0.104377
126.315 4  3.099116 1.202519 -0.08844
126.317 4  3.085422 1.507418 -0.097988
126.384 4  3.097705 1.650379 -0.092806
126.385 4  3.108896 1.607876 -0.097077
126.431 4  3.103115 1.562876 -0.089716
126.486 4  3.107444 1.525365 -0.091979
126.543 4  3.107323 1.767429 -0.095656
126.636 4  3.101225 1.889911 -0.085335
126.638 4  3.110254 1.856969 -0.107674
126.690 4  3.108102 1.813901 -0.074096
126.803 4  3.107555 1.776902 -0.110029
126.805 4  3.102917 1.971735 -0.089734
126.853 4  3.09954 2.104206 -0.108126
126.884 4  3.102718 2.066536 -0.098397
126.938 4  3.107792 2.028125 -0.097586
126.985 4  3.098363 1.99181 -0.097192
127.042 4  3.103977 2.204225 -0.105951
127.095 4  3.118911 2.309429 -0.09525
127.136 4  3.10659 2.269315 -0.12207
127.204 4  3.110012 2.226525 -0.103388
127.291 4  3.119351 2.182547 -0.122556
127.292 4  3.096799 2.413047 -0.116586
127.392 4  3.113447 2.548602 -0.136086
127.394 4  3.103162 2.501424 -0.127787
127.422 4  3.112606 2.465755 -0.141556
127.470 4  3.118158 2.417229 -0.134493
127.548 4  3.085851 2.632704 -0.149223
127.586 4  3.087208 2.754325 -0.146828
127.690 4  3.116279 2.71332 -0.142271
127.693 4  3.086814 2.65369 -0.148338
127.731 4  3.109668 2.607311 -0.142308
127.838 4  3.114093 2.819155 -0.144806
127.866 4  3.091124 2.944177 -0.148899
127.882 4  3.104089 2.905724 -0.155388
127.930 4  3.105961 2.861342 -0.165655
127.983 4  3.093945 2.810757 -0.163604
128.026 4  3.106548 3.056375 -0.176343
128.112 4  3.094422 3.182028 -0.182058
128.126 4  3.086929 3.13288 -0.15891
128.181 4  3.070414 3.082915 -0.185092
128.300 4  3.088562 3.037202 -0.15312
128.390 4  3.066291 3.269403 -0.167869
128.393 4  3.08444 3.232464 -0.156198
128.394 4  3.078239 3.181064 -0.199241
128.418 4  3.075495 3.384499 -0.153645
128.481 4  3.063517 3.32796 -0.203015
128.526 4  3.065006 3.536178 -0.167017
128.590 4  3.074668 3.652642 -0.16631
128.622 4  3.061651 3.601462 -0.159321
128.679 4  3.069632 3.558795 -0.152567
128.744 4  3.071023 3.521852 -0.166257
128.792 4  3.060613 3.753309 -0.135381
128.888 4  3.069561 3.89098 -0.171992
128.888 4  3.057864 3.83875 -0.136109
128.920 4  3.048873 3.798573 -0.157417
128.978 4  3.051627 3.761702 -0.140196
129.032 4  3.048795 3.984651 -0.148466
129.085 4  3.053786 4.104231 -0.139536
